day,hedge_stock,action,stocks,new_allocation$,new_quantity,target_price,signal
29,VTR,short to hedge,EXR,-241.3580828941458,-2.5983214866416815,92.89,-99.0
29,VTR,short to hedge,FAF,-93.05164136814624,-2.004991195176605,46.41,-99.0
29,VTR,short to hedge,FCE.A,-0.0,-0.0,25.27,-99.0
29,VTR,short to hedge,FCNCA,-200.20201071211326,-0.4687693423061564,427.08,-99.0
29,VTR,short to hedge,FHB,-200.79306892174316,-8.060741426003338,24.91,-99.0
29,VTR,short to hedge,FHN,-255.50012262460572,-15.791107702386014,16.18,-99.0
29,VTR,short to hedge,FITB,-301.1803609558491,-11.238073169994369,26.8,-99.0
29,VTR,short to hedge,FNB,-281.56761479000676,-23.28929816294514,12.09,-99.0
29,VTR,short to hedge,FNF,-151.19548649341885,-4.630795910977607,32.65,-99.0
29,VTR,short to hedge,FRC,-90.13095178369655,-0.9611917647829429,93.77,-99.0
29,VTR,short to hedge,FRT,-412.6791753124845,-3.196337815138134,129.11,-99.0
29,VTR,short to hedge,GLPI,-247.0789346202435,-7.417560330838891,33.31,-99.0
29,VTR,short to hedge,GS,-93.04055944202375,-0.4830766326169458,192.6,-99.0
29,VTR,short to hedge,HBAN,-266.23685654660534,-18.463027499764586,14.42,-99.0
29,VTR,short to hedge,HCP,-213.77300720251682,-7.407242106809315,28.86,-99.0
29,VTR,short to hedge,HGV,-10.334394028756114,-0.3518690510301707,29.37,-99.0
29,VTR,short to hedge,HHC,-108.71350135467016,-1.0027995697322218,108.41,-99.0
29,VTR,short to hedge,HIG,-153.40604026507432,-3.458986251749139,44.35,-99.0
29,VTR,short to hedge,HIW,-535.443940183774,-12.374484404524473,43.27,-99.0
29,VTR,short to hedge,HPP,-498.6562448303982,-16.55565221880472,30.12,-99.0
29,VTR,short to hedge,HPT,-200.81373310612838,-7.641314045134261,26.28,-99.0
29,VTR,short to hedge,HST,-53.34828595586693,-2.801905774993011,19.04,-99.0
29,VTR,short to hedge,HTA,-291.6347383998831,-10.674770805266585,27.32,-99.0
29,VTR,short to hedge,IBKR,-69.94057708733828,-1.3522926737691083,51.72,-99.0
29,VTR,short to hedge,ICE,-18.206179977104163,-0.22949930640494345,79.33,-99.0
29,VTR,short to hedge,INVH,-50.0806279212348,-2.4031011478519577,20.84,-99.0
29,VTR,short to hedge,IRM,-155.0376618940957,-4.76013699398513,32.57,-99.0
29,VTR,short to hedge,IVZ,-17.200247570530323,-0.8544583989334488,20.13,-99.0
29,VTR,short to hedge,JBGS,-49.64649729856129,-1.2430269729234176,39.94,-99.0
29,VTR,short to hedge,JEF,-139.01014954721182,-6.619530930819611,21.0,-99.0
29,VTR,short to hedge,JLL,-32.92019471447723,-0.23787986642443268,138.39,-99.0
29,VTR,short to hedge,JPM,-117.756154194587,-1.0939813656130342,107.64,-99.0
29,VTR,short to hedge,KEY,-223.3995474866298,-12.37670623194625,18.05,-99.0
29,VTR,short to hedge,KIM,-129.1172592951223,-8.324774938434706,15.51,-99.0
29,VTR,short to hedge,KRC,-622.8597541823339,-9.216628502254126,67.58,-99.0
29,VTR,short to hedge,L,-104.93600002580288,-2.218520085112112,47.3,-99.0
29,VTR,short to hedge,LAMR,-48.99272774090708,-0.6657525172021617,73.59,-99.0
29,VTR,short to hedge,LAZ,-68.83070089961086,-1.7730731813397955,38.82,-99.0
29,VTR,short to hedge,LM,-153.1125978902923,-5.414165413376673,28.28,-99.0
29,VTR,short to hedge,LNC,-71.5360063813792,-1.1688889931597908,61.2,-99.0
29,VTR,short to hedge,LPLA,-96.61249483283159,-1.5832922784797048,61.02,-99.0
29,VTR,short to hedge,LPT,-128.01917167638004,-2.9301710157102323,43.69,-99.0
29,VTR,short to hedge,LSI,-278.96691076604543,-2.89835751445242,96.25,-99.0
29,VTR,short to hedge,MA,-48.33123973140056,-0.2575468385985322,187.66,-99.0
29,VTR,short to hedge,MAA,-310.3725448876187,-3.0699559336065154,101.1,-99.0
29,VTR,short to hedge,MAC,-90.52493492865027,-1.8576838688415815,48.73,-99.0
29,VTR,short to hedge,MCY,-5.851615550066592,-0.10397326848021662,56.28,-99.0
29,VTR,short to hedge,MET,-50.98833740950047,-1.1860511144336001,42.99,-99.0
29,VTR,short to hedge,MFA,-68.37815811364432,-9.657931936955412,7.08,-99.0
29,VTR,short to hedge,MIC,-33.10240927096234,-0.8427293602587154,39.28,-99.0
29,VTR,short to hedge,MKL,-41.349053264525025,-0.03808199860426512,1085.79,-99.0
29,VTR,short to hedge,MKTX,-0.0,-0.0,214.89,-99.0
29,VTR,short to hedge,MMC,-70.35976948324407,-0.8254313641863452,85.24,-99.0
29,VTR,short to hedge,MPW,-121.56005299014166,-7.367275938796464,16.5,-99.0
29,VTR,short to hedge,MS,-103.06023399201644,-2.356739858038336,43.73,-99.0
29,VTR,short to hedge,MTB,-273.2630195335964,-1.6282131891413714,167.83,-99.0
29,VTR,short to hedge,NAVI,-37.2431795418416,-3.325283887664429,11.2,-99.0
29,VTR,short to hedge,NDAQ,-106.34576309102775,-1.218722932512351,87.26,-99.0
29,VTR,short to hedge,NLY,-361.54864453666704,-36.336547189614784,9.95,-99.0
29,VTR,short to hedge,NNN,-330.15131834155477,-6.715852692057664,49.16,-99.0
29,VTR,short to hedge,NRZ,-45.460731067782746,-2.7205703810761666,16.71,-99.0
29,VTR,short to hedge,NTRS,-94.33951892849213,-0.982703322171793,96.0,-99.0
29,VTR,short to hedge,NYCB,-96.75975870658846,-10.163840200271897,9.52,-99.0
29,VTR,short to hedge,O,-367.46246410052134,-5.778620287789296,63.59,-99.0
29,VTR,short to hedge,OFC,-724.2660249336262,-29.358168825846217,24.67,-99.0
29,VTR,short to hedge,OHI,-123.92138684306359,-3.415694234924575,36.28,-99.0
29,VTR,short to hedge,OMF,-77.57914328060102,-2.7806144545018285,27.9,-99.0
29,VTR,short to hedge,ORI,-51.426850478903944,-2.380872707356664,21.6,-99.0
29,VTR,short to hedge,OUT,-68.20494730001589,-3.317361250000773,20.56,-99.0
29,VTR,short to hedge,OZK,-0.0,-0.0,26.57,-99.0
29,VTR,short to hedge,PACW,-179.7806194521961,-4.592097559443068,39.15,-99.0
29,VTR,short to hedge,PB,-250.16404685743964,-3.65683448117877,68.41,-99.0
29,VTR,short to hedge,PBCT,-315.2330564719979,-19.86345661449262,15.87,-99.0
29,VTR,short to hedge,PFG,-141.38955982025323,-2.917053018779724,48.47,-99.0
